Version,In QA,In Review,To Do,In Progress,Done
v.1,0,0,0,0,1
v1.0,0,0,0,0,1
v1.11,0,0,0,0,1
v1.13,0,0,3,0,14
v1.14,0,0,7,0,81
v1.15,0,0,8,0,93
v1.16,0,0,7,0,59
v1.17,0,0,25,0,168
v1.18,0,0,30,0,156
v1.19,0,0,13,1,77
v1.2,0,0,5,0,12
v1.20,0,1,15,0,61
v1.21,0,0,7,0,46
v1.22,0,2,17,0,43
v1.23,0,1,17,0,33
v1.24,0,0,26,0,25
v1.25,0,0,14,0,56
v1.26,0,0,10,0,40
v1.27,0,0,6,0,33
v1.28,1,0,11,1,28
v1.29,0,0,2,0,1
v1.30,0,0,13,0,9
v1.31,0,0,1,0,12
v1.32,0,0,5,0,8
v1.33,0,0,17,0,37
v1.34,0,0,6,0,36
v1.35,0,0,10,1,32
v1.36,1,1,8,0,10
v1.37,0,0,0,0,1
v1.8,0,0,0,0,1
v1.9,0,0,0,0,1
vsentry,0,0,3,0,1
