Version,To Do,In Progress,In Review,In QA,Internal Test,Done
v1.20,9,0,0,0,0,66
v1.21,4,0,0,0,0,48
v1.22,14,0,1,0,0,46
v1.23,14,0,1,0,0,34
v1.24,15,0,0,0,0,25
v1.25,12,0,0,0,0,56
v1.26,8,0,0,0,0,40
v1.27,6,0,0,0,0,33
v1.28,7,1,0,0,0,29
v1.29,1,0,0,0,0,1
v1.30,12,0,0,0,0,9
v1.31,0,0,0,0,0,12
v1.32,2,0,0,0,0,9
v1.33,11,0,0,0,0,40
v1.34,0,0,0,0,0,38
v1.35,6,1,0,0,0,35
v1.36,3,0,0,0,0,18
v1.37,0,0,0,0,0,12
v1.38,1,0,0,0,0,8
v1.39,2,0,0,0,0,7
v1.40,10,3,0,7,0,7
